1 2020-05-11 12:32:26 Start writing StarsInMoviesRecord.
2 2020-05-11 12:32:26 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Scott Sunderland -> Actor doesn't exist.
51 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Alix Elias -> Actor doesn't exist.
52 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Jack Wayne -> Actor doesn't exist.
53 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Jack Coleman -> Actor doesn't exist.
54 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Kevin Colsonn -> Actor doesn't exist.
55 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Gaston Batyi -> Actor doesn't exist.
56 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Jose Sacristan -> Duplicate entries.
57 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Frederico Luppi -> Actor doesn't exist.
58 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Cecilia Roth -> Duplicate entries.
59 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Leonor Benedetto -> Duplicate entries.
60 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Thais Galizky -> Actor doesn't exist.
61 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Francesca Bertini -> Actor doesn't exist.
62 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Gustavo Serena -> Actor doesn't exist.
63 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Alfredo DeAntoni -> Actor doesn't exist.
64 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Lido Manetti -> Actor doesn't exist.
65 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Nella Montagna -> Actor doesn't exist.
66 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Georges duFresne -> Actor doesn't exist.
67 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Peter Yellen -> Actor doesn't exist.
68 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Zoe Lund -> Actor doesn't exist.
69 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Frankie Thorn -> Actor doesn't exist.
70 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | James Russo -> Duplicate entries.
71 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Gabrielle Anwar -> Duplicate entries.
72 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Terry Kinney -> Actor doesn't exist.
73 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Reilly Murphy -> Actor doesn't exist.
74 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | David Ebbets -> Actor doesn't exist.
75 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Ian Richardson -> Actor doesn't exist.
76 2020-05-11 12:32:28 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | N. Ottering -> Actor doesn't exist.
77 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Andrew Robertson -> Actor doesn't exist.
78 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Sinead Cusack -> Duplicate entries.
79 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Charlotte Gainsbourg -> Duplicate entries.
80 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " |  -> Movie doesn't exist.
81 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Vittorio deSica -> Duplicate entries.
82 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Michael Riley -> Duplicate entries.
83 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Stephen Rappaport -> Actor doesn't exist.
84 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Gareth Hughes -> Actor doesn't exist.
85 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Sam Sothern -> Actor doesn't exist.
86 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Rudolfo Valentino -> Actor doesn't exist.
87 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Barbara Greene -> Actor doesn't exist.
88 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Garry K. Marshall -> Actor doesn't exist.
89 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Art Frankel -> Actor doesn't exist.
90 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Phyllis Haver -> Actor doesn't exist.
91 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Montague Love -> Actor doesn't exist.
92 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | John Barrymore -> Duplicate entries.
93 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Marc McDermott -> Actor doesn't exist.
94 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Michael Vavitch -> Actor doesn't exist.
95 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Pasquale Amato -> Actor doesn't exist.
96 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Vera Engels -> Actor doesn't exist.
97 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Charles Waldron -> Actor doesn't exist.
98 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Mervyn Jones -> Actor doesn't exist.
99 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Judy Kelly -> Actor doesn't exist.
100 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Anthony Baird -> Actor doesn't exist.
101 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Esm\'e Percy -> Actor doesn't exist.
102 2020-05-11 12:32:29 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Frederick Valk -> Duplicate entries.
103 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Elizabeth Welch -> Actor doesn't exist.
104 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " |  -> Movie doesn't exist.
105 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Pina Menichelli -> Actor doesn't exist.
106 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Frankie Darro -> Actor doesn't exist.
107 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Linda Lawson -> Actor doesn't exist.
108 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Pat Harrington~jr. -> Actor doesn't exist.
109 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Will Kuluva -> Actor doesn't exist.
110 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Leonard Weinrib -> Actor doesn't exist.
111 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Edmon Ryan -> Actor doesn't exist.
112 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | William Sharon -> Actor doesn't exist.
113 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Will Kuluva -> Actor doesn't exist.
114 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Wolfe Barzell -> Actor doesn't exist.
115 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Monica May -> Actor doesn't exist.
116 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Mary Munday -> Actor doesn't exist.
117 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Ken Patterson -> Actor doesn't exist.
118 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Florence McMichael -> Actor doesn't exist.
119 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Harry Swooger -> Actor doesn't exist.
120 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Don Keefer -> Actor doesn't exist.
121 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Lee Phillips -> Actor doesn't exist.
122 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Les Tremaye -> Actor doesn't exist.
123 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Ann Stanton -> Actor doesn't exist.
124 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Edmund Haskin -> Actor doesn't exist.
125 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | John Dennis -> Actor doesn't exist.
126 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Bert Rensen -> Actor doesn't exist.
127 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Karl Lukas -> Actor doesn't exist.
128 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Ada Stewart -> Actor doesn't exist.
129 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Phil Gordon -> Duplicate entries.
130 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Clegg Hoyt -> Actor doesn't exist.
131 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Susan Harrison -> Actor doesn't exist.
132 2020-05-11 12:32:30 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | John Emery -> Actor doesn't exist.
133 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Jo vanFleet -> Duplicate entries.
134 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Alice Frost -> Actor doesn't exist.
135 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Frank Maxwell -> Actor doesn't exist.
136 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Edmund Hashim -> Actor doesn't exist.
137 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Jack Ging -> Actor doesn't exist.
138 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Duke Howard -> Actor doesn't exist.
139 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Burt Brinckerhoff -> Actor doesn't exist.
140 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | George Clarke -> Actor doesn't exist.
141 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Joby Baker -> Actor doesn't exist.
142 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Bernard Kates -> Actor doesn't exist.
143 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | King Calder -> Actor doesn't exist.
144 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Bob Karnes -> Actor doesn't exist.
145 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Harry Swoger -> Actor doesn't exist.
146 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Ted Newton -> Actor doesn't exist.
147 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Richard Gaines -> Actor doesn't exist.
148 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Lola Allbright -> Actor doesn't exist.
149 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Pat Breslin -> Actor doesn't exist.
150 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Brian Hutton -> Actor doesn't exist.
151 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Claudia Cravey -> Actor doesn't exist.
152 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Peggy McKay -> Actor doesn't exist.
153 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Katherine Crawford -> Actor doesn't exist.
154 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Randy Boone -> Actor doesn't exist.
155 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | James Anderson -> Duplicate entries.
156 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Jesse Jacobs -> Actor doesn't exist.
157 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Russ Conway -> Actor doesn't exist.
158 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Karl Lukas -> Actor doesn't exist.
159 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Rose Montiel -> Actor doesn't exist.
160 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | George Costigan -> Actor doesn't exist.
161 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Siobhan Finneran -> Actor doesn't exist.
162 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Michelle Holmes -> Actor doesn't exist.
163 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Lesley Sharp -> Actor doesn't exist.
164 2020-05-11 12:32:31 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Kulvinder Ghir -> Actor doesn't exist.
165 2020-05-11 12:32:32 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Alan Rickman -> Duplicate entries.
166 2020-05-11 12:32:32 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Liesel Mathews -> Actor doesn't exist.
167 2020-05-11 12:32:32 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Eleanor Brown -> Actor doesn't exist.
168 2020-05-11 12:32:32 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | E-than Hawke -> Actor doesn't exist.
169 2020-05-11 12:32:32 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " |  -> Movie doesn't exist.
170 2020-05-11 12:32:32 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Catherine Mouchet -> Duplicate entries.
171 2020-05-11 12:32:32 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Aurore Prieto -> Actor doesn't exist.
172 2020-05-11 12:32:32 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Sylvie Habault -> Actor doesn't exist.
173 2020-05-11 12:32:32 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Tracey Walker -> Actor doesn't exist.
174 2020-05-11 12:32:32 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Fox Harris -> Actor doesn't exist.
175 2020-05-11 12:32:32 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | Chloe Webb -> Actor doesn't exist.
176 2020-05-11 12:32:32 Error: dataClass.StarsInMoviesRecordClass: " + this.movieId + " | " + this.movieTitle + " | David Hayman -> Duplicate entries.
